172.31.0.32;/29;KCADEU, Backbone-Remote IC, KCA-SITE19
172.31.0.40;/29;KCADEU, Backbone-Remote IC, KCA-SITE42
172.31.0.48;/29;KCADEU, Backbone-Remote IC, KCA-SITE20
172.31.0.80;/29;KCA-SITE50 - SCPC HUB
100.64.0.8;/29;SPLANG-SITE121 IA-EPLE Local subnet
100.64.0.24;/29;SPLANG-SITE122 IA-EPLE Local subnet
100.64.0.40;/29;SPLANG-SITE123 IA-EPLE Local subnet
100.64.0.56;/29;SPLANG-SITE124 IA-EPLE Local subnet
100.64.0.72;/29;SPLANG-SITE125 IA-EPLE Local subnet
100.64.0.88;/29;SPLANG-SITE126 IA-EPLE Local subnet
100.64.0.104;/29;SPLANG-SITE127 IA-EPLE Local subnet
100.64.0.120;/29;SPLANG-SITE128 IA-EPLE Local subnet
100.64.0.136;/29;SPLANG-SITE129 IA-EPLE Local subnet
100.64.0.152;/29;SPLANG-SITE130 IA-EPLE Local subnet
100.64.0.168;/29;SPLANG-SITE131 IA-EPLE Local subnet
100.64.0.184;/29;SPLANG-SITE132 IA-EPLE Local subnet
100.64.0.200;/29;SPLANG-SITE133 IA-EPLE Local subnet
100.64.0.216;/29;SPLANG-SITE134 IA-EPLE Local subnet
100.64.0.232;/29;SPLANG-SITE135 IA-EPLE Local subnet
100.64.0.248;/29;SPLANG-SITE136 IA-EPLE Local subnet
100.64.1.8;/29;SPLANG-SITE137 IA-EPLE Local subnet
100.64.1.24;/29;SPLANG-SITE138 IA-EPLE Local subnet
100.64.1.40;/29;SPLANG-SITE139 IA-EPLE Local subnet
100.64.1.56;/29;SPLANG-SITE140 IA-EPLE Local subnet
100.64.1.72;/29;SPLANG-SITE141 IA-EPLE Local subnet
100.64.1.88;/29;SPLANG-SITE142 IA-EPLE Local subnet
100.64.1.104;/29;SPLANG-SITE143 IA-EPLE Local subnet
100.64.1.120;/29;SPLANG-SITE144 IA-EPLE Local subnet
100.64.1.136;/29;SPLANG-SITE145 IA-EPLE Local subnet
100.64.1.152;/29;SPLANG-SITE146 IA-EPLE Local subnet
100.64.1.168;/29;SPLANG-SITE147 IA-EPLE Local subnet
100.64.1.184;/29;SPLANG-SITE148 IA-EPLE Local subnet
100.64.1.200;/29;SPLANG-SITE149 IA-EPLE Local subnet
